crossword_form,length,lemma,pos,date,formation,definition,url
DISMAGN,7,dismagn,verb,1657,borrowing,transitive. To deprive of greatness.,http://www.oed.com/dictionary/dismagn_v
DISSELF,7,disself,verb,1606,derivative,To put (a person) beside himself or herself; to…,http://www.oed.com/dictionary/disself_v
DISSOUL,7,dissoul,verb,1622,derivative,transitive. To deprive of a soul.,http://www.oed.com/dictionary/dissoul_v
DISSPUR,7,disspur,verb,1603,derivative,transitive. To deprive (of spurs).,http://www.oed.com/dictionary/disspur_v
DISTIME,7,distime,verb,1650,derivative,transitive. ? To put out of time; to mistime.,http://www.oed.com/dictionary/distime_v
DISTREE,7,distree,verb,a1638,derivative,transitive. To deprive or strip of trees.,http://www.oed.com/dictionary/distree_v
DOGCOOK,7,dog-cook,noun,1825,compound,"A male cook (cf. dog, n.¹ I.2 and compounds C.2b).",http://www.oed.com/dictionary/dog-cook_n
EMBREAD,7,embread,verb,1548,derivative,"transitive. To convert into, or incorporate in, bread.",http://www.oed.com/dictionary/embread_v
EYEAREA,7,eye-area,noun,1895,compound,A representation of the eye and its surrounding…,http://www.oed.com/dictionary/eye-area_n
EYEDAWN,7,eye-dawn,noun,1820,compound,The dawn or first appearance (of a feeling) in the eye.,http://www.oed.com/dictionary/eye-dawn_n
FAIRFUL,7,fairful,noun,1872,derivative,As many as would fill a fair.,http://www.oed.com/dictionary/fairful_n
FIBLING,7,fibling,adjective,1681,derivative,Given to telling little fibs.,http://www.oed.com/dictionary/fibling_adj
FOETROY,7,foe-Troy,adjective,?1615,compound,Hostile to Troy.,http://www.oed.com/dictionary/foe-troy_adj
GASPANT,7,gaspant,adjective,1831,derivative,A mock-heraldic term for: gasping.,http://www.oed.com/dictionary/gaspant_adj
GOBLERY,7,goblery,noun,1798,derivative,Probably: goblins collectively.,http://www.oed.com/dictionary/goblery_n
GOINGLY,7,goingly,adverb,a1642,derivative,At a walking pace.,http://www.oed.com/dictionary/goingly_adv
GRAPING,7,graping,adjective,1610,derivative,Bearing grapes.,http://www.oed.com/dictionary/graping_adj
HALSNER,7,halsner,noun,1594,derivative,"An augury, an omen. Cf. halsen, v. 2.",http://www.oed.com/dictionary/halsner_n
HARIOLE,7,hariole,verb,1833,,"To divine, guess.",http://www.oed.com/dictionary/hariole_v
HERSALL,7,hersall,noun,1590,shortening,"In Spenser: = rehearsal, n.",http://www.oed.com/dictionary/hersall_n
HIPHAPE,7,hip hape,noun,a1640,compound,"Clothing or an accessory used to cover, alter, or…",http://www.oed.com/dictionary/hip-hape_n
HOBBIZE,7,Hobbize,verb,1696,proper name,intransitive. To align one's ideas or theories…,http://www.oed.com/dictionary/hobbize_v
IDOLANT,7,idolant,noun,1605,derivative,A person who worships an idol or image as a god…,http://www.oed.com/dictionary/idolant_n
JOSSISH,7,jossish,adjective,1834,derivative,Resembling or characteristic of a joss.,http://www.oed.com/dictionary/jossish_adj
KNAVATE,7,knavate,noun,c1506,derivative,"A knave, a rogue.",http://www.oed.com/dictionary/knavate_n
KNAVESS,7,knavess,noun,1833,derivative,A knavish woman; an unscrupulous or dishonest…,http://www.oed.com/dictionary/knavess_n
KNEEIFY,7,kneeify,verb,c1630,derivative,"To make a knee of: in quot. 1630, to attach (the…",http://www.oed.com/dictionary/kneeify_v
LEAFJOY,7,leaf-joy,noun,1638,compound,A joy which is extendable or flexible; cf. leaf…,http://www.oed.com/dictionary/leaf-joy_n
LEGGERY,7,leggery,noun,1830,derivative,A storehouse of legs. (In quot. with reference to…,http://www.oed.com/dictionary/leggery_n
LEVELRY,7,Levelry,noun,1661,derivative,The principles of the Levellers.,http://www.oed.com/dictionary/levelry_n
LIEBILL,7,lie-bill,noun,1620,compound,"A distortion of libel, n.",http://www.oed.com/dictionary/lie-bill_n
LONEDOM,7,lonedom,noun,1612,derivative,Solitariness.,http://www.oed.com/dictionary/lonedom_n
LONGBOX,7,long box,noun,a1643,compound,A box used to transport the wares of a hawker of books.,http://www.oed.com/dictionary/long-box_n
MANCASE,7,man-case,noun,1655,compound,A body.,http://www.oed.com/dictionary/man-case_n
MANNITY,7,mannity,noun,1621,derivative,Human beings collectively.,http://www.oed.com/dictionary/mannity_n
MEROPIC,7,meropic,adjective,1854,borrowing,Gifted with the power of speech.,http://www.oed.com/dictionary/meropic_adj
MITROUS,7,mitrous,adjective,1791,derivative,Relating to a mitre or bishopric.,http://www.oed.com/dictionary/mitrous_adj
MIXTISH,7,mixtish,adjective,1837,derivative,Of the nature of a mixture.,http://www.oed.com/dictionary/mixtish_adj
MOBILAR,7,mobilar,adjective,1766,derivative,Relating to the mob.,http://www.oed.com/dictionary/mobilar_adj
MOORERY,7,Moorery,noun,1808,derivative,A Moorish quarter of a city.,http://www.oed.com/dictionary/moorery_n
MOSSIFY,7,mossify,verb,1822,derivative,intransitive. To eulogize or idealize moss or…,http://www.oed.com/dictionary/mossify_v
NAPPIST,7,nappist,noun,1894,derivative,A person who is fond of playing nap.,http://www.oed.com/dictionary/nappist_n
NONCOME,7,noncome,noun,1600,borrowing,A state of bewilderment or insanity.,http://www.oed.com/dictionary/noncome_n
OBOLARY,7,obolary,adjective,1820,derivative,Possessing or able to contribute only obols or…,http://www.oed.com/dictionary/obolary_adj
ODOURET,7,odouret,noun,1825,derivative,A faint smell.,http://www.oed.com/dictionary/odouret_n
OENOGEN,7,oenogen,noun,1817,,The vapour from a wine that carries its aroma.,http://www.oed.com/dictionary/oenogen_n
OLIVITY,7,olivity,noun,1656,borrowing,The time at which olives are harvested and…,http://www.oed.com/dictionary/olivity_n
ONIONET,7,onionet,noun,1820,derivative,A small onion.,http://www.oed.com/dictionary/onionet_n
OOZELET,7,oozelet,noun,1865,derivative,A small channel in which water oozes through bog…,http://www.oed.com/dictionary/oozelet_n
OPERISH,7,operish,adjective,1742,derivative,"Of, relating to, or characteristic of opera.",http://www.oed.com/dictionary/operish_adj
OUTNOSE,7,out-nose,verb,1624,derivative,(transitive) to put out the nose of.,http://www.oed.com/dictionary/out-nose_v
OVERLOP,7,overlop,verb,1893,derivative,transitive. To hang loosely over.,http://www.oed.com/dictionary/overlop_v
PENNISH,7,pennish,adjective,1646,derivative,Relating to a pen or to writing.,http://www.oed.com/dictionary/pennish_adj
PEWDISH,7,pew-dish,noun,1654,compound,A dish passed or placed among the pews in a…,http://www.oed.com/dictionary/pew-dish_n
PIKEISH,7,pikeish,adjective,1890,derivative,"Of, relating to, or suggestive of a pike.",http://www.oed.com/dictionary/pikeish_adj
POETAST,7,poetast,noun,1892,shortening,A poetaster.,http://www.oed.com/dictionary/poetast_n
POLKAIC,7,polkaic,adjective,1884,derivative,That has the character of a polka.,http://www.oed.com/dictionary/polkaic_adj
POLKERY,7,polkery,noun,1845,derivative,A social gathering for the purpose of dancing the…,http://www.oed.com/dictionary/polkery_n
POLKING,7,polking,adjective,1856,derivative,Of a person: that dances the polka.,http://www.oed.com/dictionary/polking_adj
POLLMAD,7,poll-mad,adjective,1577,compound,Mad-brained.,http://www.oed.com/dictionary/poll-mad_adj
PONENCY,7,ponency,noun,1865,borrowing,The action of positing or stating the existence…,http://www.oed.com/dictionary/ponency_n
POPPEAN,7,poppean,adjective,1791,derivative,Of or resembling opium or its effects; soporific.,http://www.oed.com/dictionary/poppean_adj
POPPISH,7,poppish,adjective,1881,derivative,Of the nature of a carbonated drink; fizzy.,http://www.oed.com/dictionary/poppish_adj
PORELET,7,porelet,noun,a1382,derivative,A pauper.,http://www.oed.com/dictionary/porelet_n
PORTIFY,7,portify,verb,1861,derivative,transitive. To convert (claret) into port; in…,http://www.oed.com/dictionary/portify_v
POSTIFY,7,postify,verb,1624,derivative,transitive. To fix or nail to a post.,http://www.oed.com/dictionary/postify_v
POTFURY,7,pot-fury,noun,1597,compound,Fury or excitement brought on by inebriation.,http://www.oed.com/dictionary/pot-fury_n
POTLING,7,potling,noun,1616,derivative,"A drunkard. Cf. poetling, n.",http://www.oed.com/dictionary/potling_n
PROCUMB,7,procumb,verb,1791,borrowing,intransitive. To prostrate oneself.,http://www.oed.com/dictionary/procumb_v
PROTURB,7,proturb,verb,1845,borrowing,transitive. To drive or chase out.,http://www.oed.com/dictionary/proturb_v
PUFFKIN,7,puffkin,noun,1639,derivative,A flighty or capricious person.,http://www.oed.com/dictionary/puffkin_n
PUNNAGE,7,punnage,noun,a1849,derivative,Puns collectively.,http://www.oed.com/dictionary/punnage_n
PUNYISH,7,punyish,adjective,1832,derivative,Somewhat puny.,http://www.oed.com/dictionary/punyish_adj
PURCHOP,7,pur-chop,noun,a1637,compound,(Perhaps) the truncheon often depicted in the…,http://www.oed.com/dictionary/pur-chop_n
PUSHERY,7,pushery,noun,1788,derivative,"Pushiness. Cf. push, v. II.10.",http://www.oed.com/dictionary/pushery_n
PYRERGY,7,pyrergy,noun,1651,borrowing,The action of working in or with fire; heat energy.,http://www.oed.com/dictionary/pyrergy_n
REINAGE,7,reinage,noun,1863,derivative,Reins collectively.,http://www.oed.com/dictionary/reinage_n
ROSABEL,7,rosabel,noun,1523,borrowing,A beautiful rose.,http://www.oed.com/dictionary/rosabel_n
RUNLONG,7,runlong,noun,1674,compound,The course or passage of something.,http://www.oed.com/dictionary/runlong_n
SEXIOUS,7,sexious,adjective,a1593,derivative,"Perhaps: sectarian (cf. sex, n.²).",http://www.oed.com/dictionary/sexious_adj
SINGMAN,7,sing-man,noun,1691,compound,A singing man.,http://www.oed.com/dictionary/sing-man_n
STAGEAN,7,stagean,adjective,1602,derivative,Characteristic or reminiscent of plays or…,http://www.oed.com/dictionary/stagean_adj
STUPPLE,7,stupple,noun,1611,variant,Probably: a stepping stone or a row of these.,http://www.oed.com/dictionary/stupple_n
SUBCHET,7,subchet,noun,?a1513,variant,"Probably: = sub-charge, n. 1.",http://www.oed.com/dictionary/subchet_n
SURLING,7,surling,noun,1605,derivative,A surly fellow.,http://www.oed.com/dictionary/surling_n
SURVISE,7,survise,verb,1600,variant,"transitive. To look upon, behold.",http://www.oed.com/dictionary/survise_v
TAPSKIN,7,tapskin,noun,1605,compound,A drumstick.,http://www.oed.com/dictionary/tapskin_n
TAURIZE,7,taurize,verb,1727,borrowing,"intransitive. To play the bull, to take the form…",http://www.oed.com/dictionary/taurize_v
TAWDRUM,7,tawdrum,noun,1680,borrowing,A tawdry decoration.,http://www.oed.com/dictionary/tawdrum_n
TESTERN,7,testern,verb,a1616,derivative,transitive. To present with a tester; to ‘tip’.,http://www.oed.com/dictionary/testern_v
TOWNEEN,7,towneen,noun,1893,derivative,A small town.,http://www.oed.com/dictionary/towneen_n
TOYPATE,7,toy-pate,noun,1702,compound,A person with a head full of odd fancies or…,http://www.oed.com/dictionary/toy-pate_n
TPHROWH,7,tphrowh,interjection,1575,imitative,An exclamation to arrest or call attention: cf…,http://www.oed.com/dictionary/tphrowh_int
UNCLIFY,7,unclify,verb,1799,derivative,transitive. To make an uncle of.,http://www.oed.com/dictionary/unclify_v
WITRACK,7,wit-rack,noun,1642,compound,A faculty of eliciting speech by wit (as a rack…,http://www.oed.com/dictionary/wit-rack_n
WOODIST,7,woodist,noun,1613,derivative,An imaginary uncivilized human-like creature…,http://www.oed.com/dictionary/woodist_n
ZONULET,7,zonulet,noun,1648,borrowing,A little zone or girdle.,http://www.oed.com/dictionary/zonulet_n
ADVENTRY,8,adventry,noun,1616,derivative,An adventure; an enterprise or undertaking.,http://www.oed.com/dictionary/adventry_n
ALIICIDE,8,aliicide,noun,1868,borrowing,Murder.,http://www.oed.com/dictionary/aliicide_n
BEARBRAT,8,bearbrat,noun,1582,compound,A term of abuse for a person.,http://www.oed.com/dictionary/bearbrat_n
BETAWDER,8,betawder,verb,1682,derivative,transitive. To adorn or dress (someone) in gaudy…,http://www.oed.com/dictionary/betawder_v
BLINDLED,8,blindled,adjective,1605,derivative,Veiled; darkened.,http://www.oed.com/dictionary/blindled_adj
BREAKGAP,8,break gap,noun,1662,compound,That which opens a gap or passage; (in quot. in…,http://www.oed.com/dictionary/break-gap_n
BUSHBILL,8,bush-bill,noun,1626,compound,Probably: a tool for cutting back vegetation; a…,http://www.oed.com/dictionary/bush-bill_n
BUSHKNOT,8,bush-knot,noun,1880,compound,"A crude or makeshift knot. See bush, n.¹ B.2.",http://www.oed.com/dictionary/bush-knot_n
CAWATION,8,cawation,noun,a1635,derivative,"The cawing of a crow, rook, raven, or other bird…",http://www.oed.com/dictionary/cawation_n
CHANTLET,8,chantlet,noun,a1874,derivative,A little song or melody.,http://www.oed.com/dictionary/chantlet_n
CHECKSET,8,check-set,noun,1861,compound,"A corn-planting machine, or a device attached to…",http://www.oed.com/dictionary/check-set_n
CIVICIZE,8,civicize,verb,1888,derivative,transitive. To make civic or urban.,http://www.oed.com/dictionary/civicize_v
CLUBDRUB,8,club drub,verb,1875,compound,transitive to beat (a person) with a club.,http://www.oed.com/dictionary/club-drub_v
COMBFEAT,8,comb-feat,noun,1653,compound,"‘A dressing or thrashing’ (Davies): cf. comb, v. 3.",http://www.oed.com/dictionary/comb-feat_n
CONTRUTH,8,contruth,verb,1650,derivative,"intransitive. To be true together, agree in truth.",http://www.oed.com/dictionary/contruth_v
COPESTER,8,copester,noun,1637,derivative,"A wearer of a cope, i.e. a monk.",http://www.oed.com/dictionary/copester_n
COUGHERY,8,coughery,noun,1693,derivative,Coughing-place.,http://www.oed.com/dictionary/coughery_n
CROSSDOG,8,cross-dog,noun,1861,compound,A type of building implement used for supporting…,http://www.oed.com/dictionary/cross-dog_n
CULLYISM,8,cullyism,noun,1712,derivative,The condition of a cully.,http://www.oed.com/dictionary/cullyism_n
DACOITEE,8,dacoitee,noun,1887,derivative,A person robbed by a dacoit or dacoits.,http://www.oed.com/dictionary/dacoitee_n
DACTYLET,8,dactylet,noun,1597,derivative,A little dactyl.,http://www.oed.com/dictionary/dactylet_n
DARKSHIP,8,darkship,noun,1707,derivative,With possessive adjective: a mock title of…,http://www.oed.com/dictionary/darkship_n
DAYLIVER,8,day-liver,noun,1623,compound,A person who experiences life day by day.,http://www.oed.com/dictionary/day-liver_n
DEBTBIND,8,debt-bind,verb,1563,compound,"transitive. To bind by obligation, render indebted.",http://www.oed.com/dictionary/debt-bind_v
DEMENTIR,8,dementir,verb,1707,borrowing,"transitive. To fail to justify, belie.",http://www.oed.com/dictionary/dementir_v
DEPASTOR,8,depastor,noun,1583,borrowing,"One who feeds upon, eats away, or consumes.",http://www.oed.com/dictionary/depastor_n
DERIDENT,8,derident,adjective,1609,borrowing,"? Deriding, or smiling.",http://www.oed.com/dictionary/derident_adj
DEVILADE,8,devilade,noun,1775,derivative,A social gathering or entertainment regarded as…,http://www.oed.com/dictionary/devilade_n
DIAPRIZE,8,diaprize,verb,1626,borrowing,"= diaper, v.",http://www.oed.com/dictionary/diaprize_v
DISHEDGE,8,dishedge,verb,c1595,derivative,transitive. To deprive of its hedge.,http://www.oed.com/dictionary/dishedge_v
DOGTHICK,8,dog-thick,adjective,a1810,compound,"As ‘thick’ as dogs, intimate (cf. dog, n.¹…",http://www.oed.com/dictionary/dog-thick_adj
DUMCOWED,8,dum-cowed,adjective,1825,derivative,Intimidated or threatened; browbeaten.,http://www.oed.com/dictionary/dum-cowed_adj
DUSTLING,8,dustling,noun,1674,derivative,"A small grain or particle; cf. dust, n.¹ 2a.",http://www.oed.com/dictionary/dustling_n
EARRIDGE,8,ear-ridge,noun,1853,compound,A headband worn as a protection against cold.,http://www.oed.com/dictionary/ear-ridge_n
EASERESS,8,easeress,noun,1631,derivative,A woman who provides relief from pain or distress.,http://www.oed.com/dictionary/easeress_n
ELLIPSED,8,ellipsed,adjective,1607,derivative,Characterized by ellipsis.,http://www.oed.com/dictionary/ellipsed_adj
EMPERSON,8,emperson,verb,1548,derivative,"transitive. To unite in one person. Cf. person, v. 1.",http://www.oed.com/dictionary/emperson_v
ENGOTISH,8,engotish,verb,1664,derivative,transitive. To class or designate as ‘Gothic’.,http://www.oed.com/dictionary/engotish_v
EPHORISM,8,ephorism,noun,1633,derivative,A tribunal resembling that of the ephors.,http://www.oed.com/dictionary/ephorism_n
EXCOMMON,8,excommon,verb,1671,derivative,"= discommon, v. (see quot. 1671).",http://www.oed.com/dictionary/excommon_v
FATICANE,8,faticane,noun,1652,borrowing,A person who or thing which foretells; a prophet.,http://www.oed.com/dictionary/faticane_n
FINIFEST,8,finifest,adverb,1551,borrowing,(See quot. 1551.),http://www.oed.com/dictionary/finifest_adv
FORENESS,8,foreness,noun,1587,derivative,Priority.,http://www.oed.com/dictionary/foreness_n
FRESCOUR,8,frescour,noun,1638,borrowing,Coolness.,http://www.oed.com/dictionary/frescour_n
FRONTATE,8,frontate,adjective,1855,borrowing,Of a leaf: having a broad (rather than pointed)…,http://www.oed.com/dictionary/frontate_adj
GOUPABLE,8,go-up-able,adjective,1850,derivative,Of a river: capable of being followed towards the…,http://www.oed.com/dictionary/go-up-able_adj
GUMSTAKE,8,gum-stake,noun,1671,compound,A tooth.,http://www.oed.com/dictionary/gum-stake_n
GUNNERED,8,gunnered,adjective,1628,derivative,Trained in gunnery.,http://www.oed.com/dictionary/gunnered_adj
GYPSIETY,8,gypsiety,noun,a1774,derivative,The quality or condition of being a Gypsy.,http://www.oed.com/dictionary/gypsiety_n
